Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
matte-white-patches,Matte White Flex Patches,Matte White Flex Patches offer a clean modern finish with a subtle 3D texture that makes designs pop. Precision-cut with smooth edges and custom shapes for a crisp premium look.,Patch Kraze,Uncategorized,patches,"patches, Standard Patches",true,Patch Width (inches),1.5",MW-1.5,0,shopify,100,deny,manual,9.44,,true,true,,https://cdn.shopify.com/s/files/1/0819/2170/4255/files/NT.Patches_Matte_White.png?v=1762286797,1,,false,,,lb,active
matte-white-patches,,,,,,,,,2",MW-2,0,shopify,100,deny,manual,10.19,,true,true,,,,,,,,,lb,
matte-white-patches,,,,,,,,,2.5",MW-2.5,0,shopify,100,deny,manual,10.94,,true,true,,,,,,,,,lb,
matte-white-patches,,,,,,,,,3",MW-3,0,shopify,100,deny,manual,11.69,,true,true,,,,,,,,,lb,
matte-white-patches,,,,,,,,,3.5",MW-3.5,0,shopify,100,deny,manual,12.44,,true,true,,,,,,,,,lb,
matte-white-patches,,,,,,,,,4",MW-4,0,shopify,100,deny,manual,13.94,,true,true,,,,,,,,,lb,
