Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,Sticker Size x Quantity,Style #1-5 - 25-49,BUMPER-1-5-25-49,0,shopify,100,deny,manual,0.47,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0819/2170/4255/files/bumpercar_1.png?v=1740599420,1,,FALSE,,,lb,active
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #1-5 - 50-99,BUMPER-1-5-50-99,0,shopify,100,deny,manual,0.28,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #1-5 - 100-249,BUMPER-1-5-100-249,0,shopify,100,deny,manual,0.18,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #1-5 - 250-499,BUMPER-1-5-250-499,0,shopify,100,deny,manual,0.14,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #1-5 - 500+,BUMPER-1-5-500plus,0,shopify,100,deny,manual,0.09,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #6-10 - 25-49,BUMPER-6-10-25-49,0,shopify,100,deny,manual,0.61,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #6-10 - 50-99,BUMPER-6-10-50-99,0,shopify,100,deny,manual,0.36,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #6-10 - 100-249,BUMPER-6-10-100-249,0,shopify,100,deny,manual,0.24,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #6-10 - 250-499,BUMPER-6-10-250-499,0,shopify,100,deny,manual,0.18,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #6-10 - 500+,BUMPER-6-10-500plus,0,shopify,100,deny,manual,0.12,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #11-15 - 25-49,BUMPER-11-15-25-49,0,shopify,100,deny,manual,0.74,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #11-15 - 50-99,BUMPER-11-15-50-99,0,shopify,100,deny,manual,0.44,,TRUE,TRUE,,,,,,,,,lb
custom-bumper-stickers,Custom Bumper Stickers,Custom bumper stickers - durable and weather-resistant for vehicles.,Patch Kraze,Uncategorized,stickers,"Custom Bumper Stickers, stickers, bumper, car, vehicle",TRUE,,Style #11-15 - 100-249,BUMPER-11-15-100-249,0,shopify,100,deny,manual,0.29,,TRUE,TRUE,,,,,,,,,lb
