Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
3d-embroidered-patches,3D Embroidered Patches,"<div class=""jss96"" data-mce-fragment=""1""> <div class=""MuiContainer-root MuiContainer-maxWidthXl"" data-mce-fragment=""1""> <div class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4"" data-mce-fragment=""1""> <div class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6"" data-mce-fragment=""1""> <div class=""jss105"" data-mce-fragment=""1""> <p class=""MuiTypography-root jss108 MuiTypography-body1"" data-mce-fragment=""1""><meta charset=""utf-8""><span data-mce-fragment=""1"">3D embroidered patches provide the upscale aesthetic of direct embroidery without the long-term obligation. These patches are available with either a sleek thin-stitched edge or a robust merrow border.</span></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a free roll of Thermal Tape.</span></p> <p class=""MuiTypography-root jss108 MuiTypography-body1  __prematched-text"" data-mce-fragment=""1""><span><meta charset=""utf-8""> <span style=""font-weight: 600;"">Add a Premade Patch Sample to Cart - </span><span style=""font-weight: 800;"">$0.01</span> - <a title=""Add to Cart"" href=""https://Patch%20Krazepatches.com/cart/add?id=46978233762111&amp;quantity=1""><strong>Add to Cart</strong></a></span></p> <p class=""__prematched-text""><br></p> </div> </div> </div> </div> </div>",Patch Kraze,Uncategorized,3d embroidered,"3D Embroidered Patches, patches, Popular, rush, Standard Patches",true,Patch Size (inches),"3""",,,,,,,,'00840400502748,0.0,,-1,deny,manual,6.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP05_2024.jpg?v=1762185690,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP05_2024.jpg?v=1762185690,lb,,,active
3d-embroidered-patches,,,,,,,,,"3.5""",,,,,,,,'00840400502090,0.0,,0,deny,manual,7.94,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Patch_3dEmb_91e3c593-1ec9-410e-8545-8ccd60aa188e.png?v=1762185690,2,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Patch_3dEmb_91e3c593-1ec9-410e-8545-8ccd60aa188e.png?v=1762185690,lb,,,
3d-embroidered-patches,,,,,,,,,"4""",,,,,,,,'00840400502977,0.0,,0,deny,manual,9.07,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP02_2024.jpg?v=1762185690,3,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP02_2024.jpg?v=1762185690,lb,,,
3d-embroidered-patches,,,,,,,,,"4.5""",,,,,,,,'00840400503080,0.0,,0,deny,manual,10.34,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP01_2024.jpg?v=1762185690,4,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP01_2024.jpg?v=1762185690,lb,,,
3d-embroidered-patches,,,,,,,,,"5""",,,,,,,,'00840400503240,0.0,,0,deny,manual,11.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP03_2024.jpg?v=1762185691,5,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP03_2024.jpg?v=1762185691,lb,,,
3d-embroidered-patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/Photo_3DEmbroideryNP04_2024.jpg?v=1762185690,6,"",,,,,,,,
