Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
motorcycle-patches,Custom Motorcycle Patches,"<meta charset=""utf-8""> <div data-mce-fragment=""1"" class=""jss96""> <div data-mce-fragment=""1"" class=""MuiContainer-root MuiContainer-maxWidthXl""> <div data-mce-fragment=""1"" class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div data-mce-fragment=""1"" class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div data-mce-fragment=""1"" class=""jss105""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your motorcycle attire with custom motorcycle patches. <meta charset=""utf-8"">These motorcycle patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to jackets.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><span data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></span></span></p> </div> </div> </div> </div> </div>",Patch Kraze,,embroidered,"Embroidered Patches, Patch Styles, patches, rush",true,Patch Width (inches),"2""",,,,,,,,'00840400507743,0.0,,0,deny,manual,3.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/DALL_E2023-11-1617.40.41-Aflat_photo-realisticimageofamotorcycleembroideredpatch.Thepatchfeaturesthetext_MotorHead_prominentlyacrossit.Thebackgroundofthe_1.png?v=1762185698,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/DALL_E2023-11-1617.40.41-Aflat_photo-realisticimageofamotorcycleembroideredpatch.Thepatchfeaturesthetext_MotorHead_prominentlyacrossit.Thebackgroundofthe_1.png?v=1762185698,lb,,,active
motorcycle-patches,,,,,,,,,"2.5""",,,,,,,,'00840400507941,0.0,,0,deny,manual,4.09,,true,true,,,,,,,,,,,,,lb,,,
motorcycle-patches,,,,,,,,,"3""",,,,,,,,'00840400508498,0.0,,0,deny,manual,4.38,,true,true,,,,,,,,,,,,,lb,,,
motorcycle-patches,,,,,,,,,"3.5""",,,,,,,,'00840400507675,0.0,,0,deny,manual,5.26,,true,true,,,,,,,,,,,,,lb,,,
motorcycle-patches,,,,,,,,,"4""",,,,,,,,'00840400507064,0.0,,0,deny,manual,5.86,,true,true,,,,,,,,,,,,,lb,,,
girl-scout-patches,Custom Girl Scout Patches,"<meta charset=""utf-8""> <div data-mce-fragment=""1"" class=""jss96""> <div data-mce-fragment=""1"" class=""MuiContainer-root MuiContainer-maxWidthXl""> <div data-mce-fragment=""1"" class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div data-mce-fragment=""1"" class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div data-mce-fragment=""1"" class=""jss105""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your girl scout gear with custom girl scout patches. <meta charset=""utf-8"">These girl scout patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to your girl scout attire.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><span data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></span></span></p> </div> </div> </div> </div> </div>",Patch Kraze,,embroidered,"Embroidered Patches, Patch Styles, patches, rush",true,Patch Width (inches),"2""",,,,,,,,'00840400507408,0.0,,0,deny,manual,3.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/GirlScoutPatch.png?v=1762185699,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/GirlScoutPatch.png?v=1762185699,lb,,,active
girl-scout-patches,,,,,,,,,"2.5""",,,,,,,,'00840400508221,0.0,,0,deny,manual,4.09,,true,true,,,,,,,,,,,,,lb,,,
girl-scout-patches,,,,,,,,,"3""",,,,,,,,'00840400507125,0.0,,0,deny,manual,4.38,,true,true,,,,,,,,,,,,,lb,,,
girl-scout-patches,,,,,,,,,"3.5""",,,,,,,,'00840400508542,0.0,,0,deny,manual,5.26,,true,true,,,,,,,,,,,,,lb,,,
girl-scout-patches,,,,,,,,,"4""",,,,,,,,'00840400506920,0.0,,0,deny,manual,5.86,,true,true,,,,,,,,,,,,,lb,,,
football-patches,Custom Football Patches,"<meta charset=""utf-8""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your apparel with custom football patches. <meta charset=""utf-8"">These football patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to your attire.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><meta charset=""utf-8""><meta charset=""utf-8""><strong data-mce-fragment=""1""></strong><span data-mce-fragment=""1""><meta charset=""utf-8""> <strong>Add a Premade Patch Sample to <meta charset=""utf-8"">Cart - $0.01 -</strong> <a title=""Add to Cart"" href=""https://Patch%20Krazepatches.com/cart/add?id=47304340111679&amp;quantity=1""><strong>Add to Cart</strong></a></span></p>",Patch Kraze,,embroidered,"Embroidered Patches, Patch Styles, patches, rush",true,Patch Width (inches),"2""",,,,,,,,'00840400507477,0.0,,0,deny,manual,3.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/FootballPatch.png?v=1762185699,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/FootballPatch.png?v=1762185699,lb,,,active
football-patches,,,,,,,,,"2.5""",,,,,,,,'00840400508252,0.0,,0,deny,manual,4.09,,true,true,,,,,,,,,,,,,lb,,,
football-patches,,,,,,,,,"3""",,,,,,,,'00840400507613,0.0,,0,deny,manual,4.38,,true,true,,,,,,,,,,,,,lb,,,
football-patches,,,,,,,,,"3.5""",,,,,,,,'00840400508016,0.0,,0,deny,manual,5.26,,true,true,,,,,,,,,,,,,lb,,,
football-patches,,,,,,,,,"4""",,,,,,,,'00840400507255,0.0,,0,deny,manual,5.86,,true,true,,,,,,,,,,,,,lb,,,
custom-uniform-patches,Custom Uniform Patches,"<meta charset=""utf-8""> <div class=""jss96"" data-mce-fragment=""1""> <div class=""MuiContainer-root MuiContainer-maxWidthXl"" data-mce-fragment=""1""> <div class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4"" data-mce-fragment=""1""> <div class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6"" data-mce-fragment=""1""> <div class=""jss105"" data-mce-fragment=""1""> <p class=""MuiTypography-root jss108 MuiTypography-body1"" data-mce-fragment=""1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your apparel with custom uniform patches. <meta charset=""utf-8"">These uniform patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to your attire.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p>   <p class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text"" data-mce-fragment=""1""><span data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></span></span></p> </div> </div> </div> </div> </div>",Patch Kraze,,embroidered,"Embroidered Patches, Patch Styles, patches, rush",true,Patch Width (inches),"2""",,,,,,,,'00840400507859,0.0,,0,deny,manual,3.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/UniformPatchMOCK_1.png?v=1762185700,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/UniformPatchMOCK_1.png?v=1762185700,lb,,,active
custom-uniform-patches,,,,,,,,,"2.5""",,,,,,,,'00840400508153,0.0,,0,deny,manual,4.09,,true,true,,,,,,,,,,,,,lb,,,
custom-uniform-patches,,,,,,,,,"3""",,,,,,,,'00840400507163,0.0,,0,deny,manual,4.38,,true,true,,,,,,,,,,,,,lb,,,
custom-uniform-patches,,,,,,,,,"3.5""",,,,,,,,'00840400506760,0.0,,0,deny,manual,5.26,,true,true,,,,,,,,,,,,,lb,,,
custom-uniform-patches,,,,,,,,,"4""",,,,,,,,'00840400507798,0.0,,0,deny,manual,5.86,,true,true,,,,,,,,,,,,,lb,,,
sports-patches,Custom Sports Patches,"<meta charset=""utf-8""> <div data-mce-fragment=""1"" class=""jss96""> <div data-mce-fragment=""1"" class=""MuiContainer-root MuiContainer-maxWidthXl""> <div data-mce-fragment=""1"" class=""MuiGrid-root MuiGrid-container MuiGrid-spacing-xs-4""> <div data-mce-fragment=""1"" class=""MuiGrid-root jss102 MuiGrid-item MuiGrid-grid-xs-12 MuiGrid-grid-lg-6""> <div data-mce-fragment=""1"" class=""jss105""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your apparel with custom sports patches. <meta charset=""utf-8"">These sports patches can be tailored with either a refined thin-stitched edge or a sturdy merrow border, making them ideal for adding a personalized touch to your attire.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><span data-mce-fragment=""1""><span data-mce-fragment=""1"" style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094727487&amp;quantity=1"" title=""Add to Cart""><strong>Add to Cart</strong></a></span></span></span></p> </div> </div> </div> </div> </div>",Patch Kraze,,embroidered,"Embroidered Patches, Patch Styles, patches, rush",true,Patch Width (inches),"2""",,,,,,,,'00840400507484,0.0,,0,deny,manual,3.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/FootballPatch1.jpg?v=1762185701,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/FootballPatch1.jpg?v=1762185701,lb,,,active
sports-patches,,,,,,,,,"2.5""",,,,,,,,'00840400508115,0.0,,0,deny,manual,4.09,,true,true,,,,,,,,,,,,,lb,,,
sports-patches,,,,,,,,,"3""",,,,,,,,'00840400507750,0.0,,0,deny,manual,4.38,,true,true,,,,,,,,,,,,,lb,,,
sports-patches,,,,,,,,,"3.5""",,,,,,,,'00840400507118,0.0,,0,deny,manual,5.26,,true,true,,,,,,,,,,,,,lb,,,
sports-patches,,,,,,,,,"4""",,,,,,,,'00840400506647,0.0,,0,deny,manual,5.86,,true,true,,,,,,,,,,,,,lb,,,
