Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
leather-patches-for-jackets,Custom Leather Patches For Jackets,"<meta charset=""utf-8""> <p data-mce-fragment=""1"" class=""MuiTypography-root jss108 MuiTypography-body1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Enhance your jackets with a touch of ruggedness with our leather patches for hats. These patches allow for intricate details and designs to be laser engraved, offering a sophisticated and polished appearance.</span><br><meta charset=""utf-8""></p> <p class=""MuiTypography-root jss108 MuiTypography-body1"" style=""font-size: 10pt; font-weight: 600;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">Each patch order includes a Free roll of Thermal Tape.</span></p> <p class=""MuiTypography-root jss108 MuiTypography-body1 __prematched-text""><meta charset=""utf-8""><span data-mce-fragment=""1""><strong>Add a Premade Patch Sample to Cart - $0.01 -</strong> <a href=""https://Patch%20Krazepatches.com/cart/add?id=46978094989631&amp;quantity=1"" title=""Add to Cart""><strong data-mce-fragment=""1"">Add to Cart</strong></a></span><br></p>",Patch Kraze,,leather,"Genuine Leather Patches, patches, rush, SEO Patches",true,Patch Width (inches),"1.5""",,,,,,,,'00840400506715,0.0,,0,deny,manual,4.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/PatchForJacketMOCK.png?v=1762185716,1,"",false,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/PatchForJacketMOCK.png?v=1762185716,lb,,,active
leather-patches-for-jackets,,,,,,,,,"2""",,,,,,,,'00840400506777,0.0,,0,deny,manual,5.02,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/WomanPatch_JacketMOCK.png?v=1762185715,2,"",,,,https://cdn.shopify.com/s/files/1/0661/2965/7940/files/WomanPatch_JacketMOCK.png?v=1762185715,lb,,,
leather-patches-for-jackets,,,,,,,,,"2.5""",,,,,,,,'00840400507835,0.0,,0,deny,manual,5.37,,true,true,,,,,,,,,,,,,lb,,,
leather-patches-for-jackets,,,,,,,,,"3""",,,,,,,,'00840400508405,0.0,,0,deny,manual,5.72,,true,true,,,,,,,,,,,,,lb,,,
leather-patches-for-jackets,,,,,,,,,"3.5""",,,,,,,,'00840400508511,0.0,,0,deny,manual,6.45,,true,true,,,,,,,,,,,,,lb,,,
leather-patches-for-jackets,,,,,,,,,"4""",,,,,,,,'00840400507705,0.0,,0,deny,manual,7.16,,true,true,,,,,,,,,,,,,lb,,,
