Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
full-color-printed-patches,,,,,,,,,6 inch - 100-199,FCP-6-100199,0,shopify,100,deny,manual,4.77,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,7 inch - 100-199,FCP-7-100199,0,shopify,100,deny,manual,5.57,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,8 inch - 100-199,FCP-8-100199,0,shopify,100,deny,manual,6.35,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,9 inch - 100-199,FCP-9-100199,0,shopify,100,deny,manual,7.14,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,10 inch - 100-199,FCP-10-100199,0,shopify,100,deny,manual,7.95,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,11 inch - 100-199,FCP-11-100199,0,shopify,100,deny,manual,8.73,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,12 inch - 100-199,FCP-12-100199,0,shopify,100,deny,manual,9.53,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1 inch - 200-499,FCP-1-200499,0,shopify,100,deny,manual,0.57,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1.5 inch - 200-499,FCP-15-200499,0,shopify,100,deny,manual,0.84,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2 inch - 200-499,FCP-2-200499,0,shopify,100,deny,manual,1.07,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2.5 inch - 200-499,FCP-25-200499,0,shopify,100,deny,manual,1.41,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3 inch - 200-499,FCP-3-200499,0,shopify,100,deny,manual,1.67,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3.5 inch - 200-499,FCP-35-200499,0,shopify,100,deny,manual,1.95,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4 inch - 200-499,FCP-4-200499,0,shopify,100,deny,manual,2.24,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4.5 inch - 200-499,FCP-45-200499,0,shopify,100,deny,manual,2.52,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,5 inch - 200-499,FCP-5-200499,0,shopify,100,deny,manual,2.79,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,6 inch - 200-499,FCP-6-200499,0,shopify,100,deny,manual,3.36,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,7 inch - 200-499,FCP-7-200499,0,shopify,100,deny,manual,3.90,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,8 inch - 200-499,FCP-8-200499,0,shopify,100,deny,manual,4.47,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,9 inch - 200-499,FCP-9-200499,0,shopify,100,deny,manual,5.01,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,10 inch - 200-499,FCP-10-200499,0,shopify,100,deny,manual,5.58,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,11 inch - 200-499,FCP-11-200499,0,shopify,100,deny,manual,6.14,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,12 inch - 200-499,FCP-12-200499,0,shopify,100,deny,manual,6.71,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1 inch - 500-999,FCP-1-500999,0,shopify,100,deny,manual,0.41,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1.5 inch - 500-999,FCP-15-500999,0,shopify,100,deny,manual,0.62,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2 inch - 500-999,FCP-2-500999,0,shopify,100,deny,manual,0.81,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2.5 inch - 500-999,FCP-25-500999,0,shopify,100,deny,manual,1.02,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3 inch - 500-999,FCP-3-500999,0,shopify,100,deny,manual,1.22,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3.5 inch - 500-999,FCP-35-500999,0,shopify,100,deny,manual,1.41,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4 inch - 500-999,FCP-4-500999,0,shopify,100,deny,manual,1.64,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4.5 inch - 500-999,FCP-45-500999,0,shopify,100,deny,manual,1.83,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,5 inch - 500-999,FCP-5-500999,0,shopify,100,deny,manual,2.04,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,6 inch - 500-999,FCP-6-500999,0,shopify,100,deny,manual,2.46,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,7 inch - 500-999,FCP-7-500999,0,shopify,100,deny,manual,2.85,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,8 inch - 500-999,FCP-8-500999,0,shopify,100,deny,manual,3.26,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,9 inch - 500-999,FCP-9-500999,0,shopify,100,deny,manual,3.68,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,10 inch - 500-999,FCP-10-500999,0,shopify,100,deny,manual,4.08,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,11 inch - 500-999,FCP-11-500999,0,shopify,100,deny,manual,4.49,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,12 inch - 500-999,FCP-12-500999,0,shopify,100,deny,manual,4.89,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1 inch - 1000+,FCP-1-10001000,0,shopify,100,deny,manual,0.38,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,1.5 inch - 1000+,FCP-15-10001000,0,shopify,100,deny,manual,0.56,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2 inch - 1000+,FCP-2-10001000,0,shopify,100,deny,manual,0.74,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,2.5 inch - 1000+,FCP-25-10001000,0,shopify,100,deny,manual,0.92,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3 inch - 1000+,FCP-3-10001000,0,shopify,100,deny,manual,1.10,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,3.5 inch - 1000+,FCP-35-10001000,0,shopify,100,deny,manual,1.26,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4 inch - 1000+,FCP-4-10001000,0,shopify,100,deny,manual,1.47,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,4.5 inch - 1000+,FCP-45-10001000,0,shopify,100,deny,manual,1.67,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,5 inch - 1000+,FCP-5-10001000,0,shopify,100,deny,manual,1.82,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,6 inch - 1000+,FCP-6-10001000,0,shopify,100,deny,manual,2.19,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,7 inch - 1000+,FCP-7-10001000,0,shopify,100,deny,manual,2.55,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,8 inch - 1000+,FCP-8-10001000,0,shopify,100,deny,manual,2.94,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,9 inch - 1000+,FCP-9-10001000,0,shopify,100,deny,manual,3.29,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,10 inch - 1000+,FCP-10-10001000,0,shopify,100,deny,manual,3.65,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,11 inch - 1000+,FCP-11-10001000,0,shopify,100,deny,manual,4.01,,true,true,,,,,lb,
full-color-printed-patches,,,,,,,,,12 inch - 1000+,FCP-12-10001000,0,shopify,100,deny,manual,4.38,,true,true,,,,,lb,
