Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
matte-black-patches,Matte Black Flex Patches,Matte Black Flex Patches deliver a bold textured professional finish with a striking 3D effect. Crafted with custom shapes and clean edges for a seamless high-quality look.,Patch Kraze,Uncategorized,patches,"patches, Standard Patches",true,Patch Width (inches),"1.5"" x 1.5""",MB-1.5,0,shopify,100,deny,manual,9.44,,true,true,,https://cdn.shopify.com/s/files/1/0819/2170/4255/files/NT.Patches_MatteBlackCollage.jpg?v=1758045075,1,,false,,,lb,active
matte-black-patches,,,,,,,,,"2"" x 2""",MB-2,0,shopify,100,deny,manual,10.19,,true,true,,,,,,,,,lb,
matte-black-patches,,,,,,,,,"2.5"" x 2.5""",MB-2.5,0,shopify,100,deny,manual,10.94,,true,true,,,,,,,,,lb,
matte-black-patches,,,,,,,,,"3"" x 3""",MB-3,0,shopify,100,deny,manual,11.69,,true,true,,,,,,,,,lb,
matte-black-patches,,,,,,,,,"3.5"" x 3.5""",MB-3.5,0,shopify,100,deny,manual,12.44,,true,true,,,,,,,,,lb,
matte-black-patches,,,,,,,,,"4"" x 4""",MB-4,0,shopify,100,deny,manual,13.94,,true,true,,,,,,,,,lb,
