Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
uv-transparent-stickers,UV Transparent Stickers,UV transparent stickers - clear and weatherproof for any surface.,Patch Kraze,Uncategorized,stickers,"UV Transparent Stickers, stickers, transparent, weatherproof",TRUE,Number of Colors x Quantity,Style #1-5 - 25-49,UV-15-2549,0,shopify,500,deny,manual,0.24,,TRUE,TRUE,,FALSE,,,lb,active
uv-transparent-stickers,,,,,,,,,Style #1-5 - 50-99,UV-15-5099,0,shopify,500,deny,manual,0.14,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #1-5 - 100-249,UV-15-100249,0,shopify,500,deny,manual,0.09,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #1-5 - 250-499,UV-15-250499,0,shopify,500,deny,manual,0.07,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #1-5 - 500+,UV-15-500+,0,shopify,500,deny,manual,0.05,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #6-10 - 25-49,UV-610-2549,0,shopify,500,deny,manual,0.59,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #6-10 - 50-99,UV-610-5099,0,shopify,500,deny,manual,0.34,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #6-10 - 100-249,UV-610-100249,0,shopify,500,deny,manual,0.22,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #6-10 - 250-499,UV-610-250499,0,shopify,500,deny,manual,0.17,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #6-10 - 500+,UV-610-500+,0,shopify,500,deny,manual,0.12,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #11-15 - 25-49,UV-1115-2549,0,shopify,500,deny,manual,0.94,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #11-15 - 50-99,UV-1115-5099,0,shopify,500,deny,manual,0.55,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #11-15 - 100-249,UV-1115-100249,0,shopify,500,deny,manual,0.35,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #11-15 - 250-499,UV-1115-250499,0,shopify,500,deny,manual,0.27,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #11-15 - 500+,UV-1115-500+,0,shopify,500,deny,manual,0.2,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #16-20 - 25-49,UV-1620-2549,0,shopify,500,deny,manual,1.28,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #16-20 - 50-99,UV-1620-5099,0,shopify,500,deny,manual,0.75,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #16-20 - 100-249,UV-1620-100249,0,shopify,500,deny,manual,0.48,,TRUE,TRUE,,,,,lb,
uv-transparent-stickers,,,,,,,,,Style #16-20 - 250-499,UV-1620-250499,0,shopify,500,deny,manual,0.37,,TRUE,TRUE,,,,,lb,
