Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #21-25 - 25-49,STICKER-21-25-25-49,0,shopify,100,deny,manual,1.02,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #21-25 - 50-99,STICKER-21-25-50-99,0,shopify,100,deny,manual,0.60,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #21-25 - 100-249,STICKER-21-25-100-249,0,shopify,100,deny,manual,0.40,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #21-25 - 250-499,STICKER-21-25-250-499,0,shopify,100,deny,manual,0.30,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #21-25 - 500+,STICKER-21-25-500plus,0,shopify,100,deny,manual,0.20,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #26-30 - 25-49,STICKER-26-30-25-49,0,shopify,100,deny,manual,1.13,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #26-30 - 50-99,STICKER-26-30-50-99,0,shopify,100,deny,manual,0.67,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #26-30 - 100-249,STICKER-26-30-100-249,0,shopify,100,deny,manual,0.44,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #26-30 - 250-499,STICKER-26-30-250-499,0,shopify,100,deny,manual,0.33,,TRUE,TRUE,,,,,,,,,lb
custom-stickers,Custom Stickers,Custom vinyl stickers - weatherproof and durable.,Patch Kraze,Uncategorized,stickers,"Custom Stickers, stickers, vinyl",TRUE,,Style #26-30 - 500+,STICKER-26-30-500plus,0,shopify,100,deny,manual,0.23,,TRUE,TRUE,,,,,,,,,lb
